,Name,SMILES,Functional,Basis,Type,Charge,Solvent,"ZPE, eV","H, eV","TS, eV","G, eV","G-ZPE, eV","Dipole, D",path
0,Ferrocenium,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,B3LYP,DEF2-TZVPP,Cation,1,acetonitrile,-44907.53,-44907.5,1.17,-44908.67,-1.139999999999418,0.17,Jobs/Ferrocene/acetonitrile/b3lyp/def2-tzvpp/Fc+
1,Ferrocene,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,B3LYP,DEF2-TZVPP,Neutral,0,acetonitrile,-44912.62,-44912.59,1.17,-44913.77,-1.1499999999941792,0.01,Jobs/Ferrocene/acetonitrile/b3lyp/def2-tzvpp/Fc0
2,Ferrocenium,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,B3LYP,MA-DEF2-TZVPP,Cation,1,acetonitrile,-44907.54,-44907.51,1.17,-44908.68,-1.139999999999418,0.17,Jobs/Ferrocene/acetonitrile/b3lyp/ma-def2-tzvpp/Fc+_rotate
3,Ferrocene,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,B3LYP,MA-DEF2-TZVPP,Neutral,0,acetonitrile,-44912.63,-44912.61,1.17,-44913.78,-1.1500000000014552,0.02,Jobs/Ferrocene/acetonitrile/b3lyp/ma-def2-tzvpp/Fc0
4,Ferrocenium,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,DLPNO-CCSD,CC-PVTZ,Cation,1,acetonitrile,-44878.07,NaN,NaN,-44879.21,NaN,0.0,Jobs/Ferrocene/acetonitrile/dlpno-ccsd/cc-pvtz/Fc+
5,Ferrocene,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,DLPNO-CCSD,CC-PVTZ,Neutral,0,acetonitrile,-44882.49,NaN,NaN,-44883.63999999999,NaN,0.0,Jobs/Ferrocene/acetonitrile/dlpno-ccsd/cc-pvtz/Fc0
6,Ferrocenium,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,PBE,MA-DEF2-TZVPP,Cation,1,acetonitrile,-44897.29,-44897.26,1.18,-44898.44,-1.1500000000014552,0.18,Jobs/Ferrocene/acetonitrile/pbe/ma-def2-tzvpp/Fc+_rotate
7,Ferrocene,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,PBE,MA-DEF2-TZVPP,Neutral,0,acetonitrile,-44902.54,-44902.51,1.17,-44903.69,-1.1500000000014552,0.02,Jobs/Ferrocene/acetonitrile/pbe/ma-def2-tzvpp/Fc0
8,Ferrocenium,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,PBE0,MA-DEF2-TZVPP,Cation,1,acetonitrile,-44897.27,-44897.24,1.16,-44898.4,-1.1300000000046566,0.17,Jobs/Ferrocene/acetonitrile/pbe0/ma-def2-tzvpp/Fc+_rotate
9,Ferrocene,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,PBE0,MA-DEF2-TZVPP,Neutral,0,acetonitrile,-44902.42,-44902.39,1.16,-44903.56,-1.139999999999418,0.01,Jobs/Ferrocene/acetonitrile/pbe0/ma-def2-tzvpp/Fc0
10,Ferrocenium,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,REVPBE,MA-DEF2-TZVPP,Cation,1,acetonitrile,-44912.58,-44912.56,1.18,-44913.74,-1.1599999999962165,0.18,Jobs/Ferrocene/acetonitrile/revpbe/ma-def2-tzvpp/Fc+_rotate
11,Ferrocene,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,REVPBE,MA-DEF2-TZVPP,Neutral,0,acetonitrile,-44917.73,-44917.7,1.18,-44918.88,-1.1499999999941792,0.02,Jobs/Ferrocene/acetonitrile/revpbe/ma-def2-tzvpp/Fc0
12,Ferrocenium,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,B3LYP,MA-DEF2-TZVPP,Cation,1,gas,-44905.45,-44905.43,1.17,-44906.6,-1.1500000000014552,0.14,Jobs/Ferrocene/gas/b3lyp/ma-def2-tzvpp/Fc+_rotate
13,Ferrocene,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,B3LYP,MA-DEF2-TZVPP,Neutral,0,gas,-44912.46,-44912.44,1.17,-44913.61,-1.1500000000014552,0.0,Jobs/Ferrocene/gas/b3lyp/ma-def2-tzvpp/Fc0
14,Ferrocenium,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,PBE,MA-DEF2-TZVPP,Cation,1,gas,-44895.2,-44895.17,1.18,-44896.35,-1.1500000000014552,0.17,Jobs/Ferrocene/gas/pbe/ma-def2-tzvpp/Fc+
15,Ferrocene,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,PBE,MA-DEF2-TZVPP,Neutral,0,gas,-44902.36,-44902.34,1.17,-44903.51,-1.1500000000014552,0.0,Jobs/Ferrocene/gas/pbe/ma-def2-tzvpp/Fc0
16,Ferrocenium,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,PBE0,MA-DEF2-TZVPP,Cation,1,gas,-44895.17,-44895.15,1.15,-44896.3,-1.1300000000046566,0.15,Jobs/Ferrocene/gas/pbe0/ma-def2-tzvpp/Fc+_rotate
17,Ferrocene,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,PBE0,MA-DEF2-TZVPP,Neutral,0,gas,-44902.23,-44902.2,1.16,-44903.36,-1.1299999999973807,0.0,Jobs/Ferrocene/gas/pbe0/ma-def2-tzvpp/Fc0
18,Ferrocenium,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,REVPBE,MA-DEF2-TZVPP,Cation,1,gas,-44910.5,-44910.47,1.18,-44911.65,-1.1500000000014552,0.17,Jobs/Ferrocene/gas/revpbe/ma-def2-tzvpp/Fc+
19,Ferrocene,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,REVPBE,MA-DEF2-TZVPP,Neutral,0,gas,-44917.56,-44917.53,1.17,-44918.71,-1.1500000000014552,0.0,Jobs/Ferrocene/gas/revpbe/ma-def2-tzvpp/Fc0
