,Functional,Basis,Solvent,"Ionization energy, eV"
0,B3LYP,DEF2-TZVPP,acetonitrile,5.099999999998545
1,B3LYP,MA-DEF2-TZVPP,acetonitrile,5.099999999998545
2,DLPNO-CCSD,CC-PVTZ,acetonitrile,4.429999999993015
3,PBE,MA-DEF2-TZVPP,acetonitrile,5.25
4,PBE0,MA-DEF2-TZVPP,acetonitrile,5.1599999999962165
5,REVPBE,MA-DEF2-TZVPP,acetonitrile,5.139999999999418
6,B3LYP,MA-DEF2-TZVPP,gas,7.010000000002037
7,PBE,MA-DEF2-TZVPP,gas,7.1600000000034925
8,PBE0,MA-DEF2-TZVPP,gas,7.059999999997672
9,REVPBE,MA-DEF2-TZVPP,gas,7.059999999997672
